algorithm,trial_idx,total_time_s
Kyber768,185,0.00011704299981829536
Kyber768,186,0.00011451600016698649
Kyber768,187,0.00014808800005994271
Kyber768,188,0.00011895800003003387
Kyber768,189,0.00013914999999542488
Kyber768,190,0.00012571100000968727
Kyber768,191,0.00011904899997716711
Kyber768,192,0.00011382900015632913
Kyber768,193,0.00012105600012546347
Kyber768,194,0.0001267579998511792
Kyber768,195,0.00014856000007057446
Kyber768,196,0.0001261949998934142
Kyber768,197,0.00014121500021246902
Kyber768,198,0.0001245220000782865
Kyber768,199,0.00011658400012493075
Kyber768,200,0.00011214100004508509
Kyber768,201,0.00012362500001472654
Kyber768,202,0.00011804800010395411
Kyber768,203,0.00015814800008229213
Kyber768,204,0.0001235400000041409
Kyber768,205,0.00014047500008018687
Kyber768,206,0.00012378000019452884
Kyber768,207,0.00012136899999859452
Kyber768,208,0.00012748299991471868
Kyber768,209,0.0001228580001679802
Kyber768,210,0.00014471600002252671
Kyber768,211,0.00012256200011506735
Kyber768,212,0.00012527200010481465
Kyber768,213,0.00013694500012206845
Kyber768,214,0.0001229359997978463
Kyber768,215,0.00012987800005248573
Kyber768,216,0.0001225850000992068
Kyber768,217,0.00012540699981400394
Kyber768,218,0.00014435699995374307
Kyber768,219,0.00012318099993535725
Kyber768,220,0.0001349879998997494
Kyber768,221,0.00012289099981899199
Kyber768,222,0.00012736400003632298
Kyber768,223,0.00011763399993469648
Kyber768,224,0.00012476100005187618
Kyber768,225,0.00012388400000418187
Kyber768,226,0.00014387700002771453
Kyber768,227,0.00012677099994107266
Kyber768,228,0.0001410219999797846
Kyber768,229,0.00012061500001436798
Kyber768,230,0.00012528899992503284
Kyber768,231,0.00012314699984017352
Kyber768,232,0.00012230500010446121
Kyber768,233,0.000144657000191728
Kyber768,234,0.0001277349999782018
Kyber768,235,0.00012449499990907498
Kyber768,236,0.0001468319999275991
Kyber768,237,0.0001252990000466525
Kyber768,238,0.00012168299986115017
Kyber768,239,0.00010725300012381922
Kyber768,240,0.00012809200006813626
Kyber768,241,0.00013585900001089612
Kyber768,242,0.0001284679999571381
Kyber768,243,0.00012441299986676313
Kyber768,244,0.0001341530000900093
Kyber768,245,0.00010783799984892539
Kyber768,246,0.0001180560000193509
Kyber768,247,0.00012332500000411528
Kyber768,248,0.00012284900003578514
Kyber768,249,0.00013982900009068544
Kyber768,250,0.00012061400002494338
Kyber768,251,0.00012913899990962818
Kyber768,252,0.0001368600001114828
Kyber768,253,0.00012718299990410742
Kyber768,254,0.00012673699984588893
Kyber768,255,0.00012385000013637182
Kyber768,256,0.0001312319998305611
Kyber768,257,0.00013798999998471118
Kyber768,258,0.00011427699996602314
Kyber768,259,0.0001266919998670346
Kyber768,260,0.00012197899991406302
Kyber768,261,0.0001264160000573611
Kyber768,262,0.0001178400000299007
Kyber768,263,0.0013733030000366853
Kyber768,264,0.00012879200016868708
Kyber768,265,0.00013312600003700936
Kyber768,266,0.0001287850000153412
Kyber768,267,0.00012539699991975795
Kyber768,268,0.00012782299995706126
Kyber768,269,0.00012521999997261446
Kyber768,270,0.00012214200000926212
Kyber768,271,0.00014751200001228426
Kyber768,272,0.0001284649999888643
Kyber768,273,0.0001377539999793953
Kyber768,274,0.00012797199997294229
Kyber768,275,0.00012948499988851836
Kyber768,276,0.00012902200001008168
Kyber768,277,0.0001286259998778405
Kyber768,278,0.00013568500003202644
Kyber768,279,0.0001178290001462301
Kyber768,280,0.00010932700001831108
Kyber768,281,0.00012230199990881374
Kyber768,282,0.00011300400001346134
Kyber768,283,0.00011655699995571922
Kyber768,284,0.00012271300010979758
Kyber768,285,0.00012158200001977093
Kyber768,286,0.0001207779998821934
Kyber768,287,0.00014949900014471496
Kyber768,288,0.00011979299983977398
Kyber768,289,0.00013315499995769642
Kyber768,290,0.0001322240000263264
Kyber768,291,0.0001245290000042587
Kyber768,292,0.0001318459999311017
Kyber768,293,0.00012282100010452268
Kyber768,294,0.00017213000000992906
Kyber768,295,0.00013486200009538152
Kyber768,296,0.00013372200010053348
Kyber768,297,0.00012532200003079197
Kyber768,298,0.00012794700000995363
Kyber768,299,0.00012126199999329401
Kyber768,300,0.00012422400004652445
Kyber768,301,0.00012420999996720639
Kyber768,302,0.00014063900016481057
Kyber768,303,0.00012484499984566355
Kyber768,304,0.00013408400013759092
Kyber768,305,0.00012853599992013187
Kyber768,306,0.0001240230001258169
Kyber768,307,0.00011974600010944414
Kyber768,308,0.00012113799994040164
Kyber768,309,0.00012397099999361672
Kyber768,310,0.0005399700000907615
Kyber768,311,0.00013411200006885338
Kyber768,312,0.00012929300010000588
Kyber768,313,0.00012346099993010284
Kyber768,314,0.00012262900008863653
Kyber768,315,0.00011782399997173343
Kyber768,316,0.00011930599998777325
Kyber768,317,0.00013443299985738122
Kyber768,318,0.0001284129998566641
Kyber768,319,0.0001279540001632995
Kyber768,320,0.0001281919999200909
Kyber768,321,0.00012235300005158933
Kyber768,322,0.00014853899983791052
Kyber768,323,0.00012338000010458927
Kyber768,324,0.00013069600004200765
Kyber768,325,0.0001342139998996572
Kyber768,326,0.0001274070000363281
Kyber768,327,0.0001234859998930915
